,category,sub_category,href,items,price,category_mean_price,sub_cat_mean_price
107,Home & Kitchen,Power & Hand Tools,https://www.jiomart.com/c/groceries/home-kitchen/power-hand-tools/hand-tools/5456,ACHRO Combo Pack of 3 Tool Kits Set for Home,449.0,1119.0,459.0
108,Home & Kitchen,Power & Hand Tools,https://www.jiomart.com/c/groceries/home-kitchen/power-hand-tools/hand-tools/5456,ACHRO CR-V Steel Plier Set Pack of 3,499.0,1119.0,459.0
109,Home & Kitchen,Power & Hand Tools,https://www.jiomart.com/c/groceries/home-kitchen/power-hand-tools/hand-tools/5456,Stapler for soft wood,429.0,1119.0,459.0
110,Home & Kitchen,Handloom & Handicraft,https://www.jiomart.com/c/groceries/home-kitchen/handloom-handicraft/blanket-quilts-dohars/5847,Fanusta Jaipuri Hand Block Print Mulmul Quilt Double AC Blanket Razai,3499.0,1119.0,2582.0
111,Home & Kitchen,Handloom & Handicraft,https://www.jiomart.com/c/groceries/home-kitchen/handloom-handicraft/blanket-quilts-dohars/5847,Fanusta Green Jaipuri Hand Block Print Mulmul Quilt Single AC Blanket,1999.0,1119.0,2582.0
112,Home & Kitchen,Handloom & Handicraft,https://www.jiomart.com/c/groceries/home-kitchen/handloom-handicraft/blanket-quilts-dohars/5847,"Fanusta Geometric Print Mulmul Quilt, AC Blanket Single",2249.0,1119.0,2582.0
113,Home & Kitchen,Personal Wear,https://www.jiomart.com/c/groceries/home-kitchen/personal-wear/women-undergarments/5784,Women Full Coverage Non Padded Bra (White),250.0,1119.0,250.0
114,Fashion,Men,https://www.jiomart.com/c/fashion/men/clothing-accessories/497,Pack of 3 Patterned Socks,254.0,465.0,549.0
115,Fashion,Men,https://www.jiomart.com/c/fashion/men/clothing-accessories/497,Mensome Blue Cotton Silk Neck Tie Gift Set in Wooden Box,1195.0,465.0,549.0
116,Fashion,Men,https://www.jiomart.com/c/fashion/men/clothing-accessories/497,"SLIMSHINE Men's & Women's Cotton Solid Loafer Socks, Pack of 4 ( Blue, Black, Grey, Silver )",199.0,465.0,549.0
117,Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Indibelle Purple White Womens Rayon Floral Print Flared Kurta (M),1080.0,465.0,613.0
